Origin,Dest,2008
India,South Korea, 5
India,Thailand, 5
India,New Zealand
India,Australia
India,Singapore
India,Malaysia
India,Maldives
India,South Africa
India,Botswana
India,Zambia
India,Tanzania
India,Kenya
India,Chile
India,Peru
India,Sierra Leone
India,Panama
India,Trinidad & Tobago
India,United States
India,Jordan
India,Israel
India,Jordan,
India,Cyprus
India,Greece
India,Italy
India,Belgium
India,Azerbaijan
India,Finland
Russia,India
Uzbekistan,India
Mongolia,India
China,India
India,Bhutan
Bhutan,India
India,Nepal
Nepal,India
India,Saudi Arabia
Saudi Arabia,India
Azerbaijan,India
Lithuania,United States
Hungary,United States
Bulgaria,United States
China,United States
Turkmenistan,United States
Nepal,United States
Bangladesh,United States
Philippines,United States
Micronesia,United States
Thailand,United States
Sri Lanka,United States
Indonesia,United States
Somalia,United States
Australia,United States
Kenya,United States
Rwanda,United States
Tanzania,United States
Togo,United States
Ghana,United States
Guinea,United States
United States,South Africa
Brazil,United States
Dominican Rep.,United States
Haiti,United States
Bolivia,United States
Peru,United States
Nicaragua,United States
Honduras,United States
El Salvador,United States
Guatemala,United States
Mexico,United States
United States,Bahamas
